"#name","Norwegian-English dictionary"
"#version","2.4.2"
"#wordcount","8440"
"#idxfilesize","164338"
"#creationTime","2009.01.30"
"#sametypesequence","x"
"#description","Copyright: Converted by swaj under GNU Public License; Version: 1.1"
"#sourceLang","Norwegian"
"#targetLang","English"
"simpel","<div class=""article""><div class=""k""><b>simpel</b></div>low</div>"
"sin","<div class=""article""><div class=""k""><b>sin</b></div>its</div>"
"sine","<div class=""article""><div class=""k""><b>sine</b></div>its</div>"
"sine, dens, dets, sin","<div class=""article""><div class=""k""><b>sine, dens, dets, sin</b></div>its</div>"
"sinne","<div class=""article""><div class=""k""><b>sinne</b></div>anger</div>"
"sinnsbevegelse","<div class=""article""><div class=""k""><b>sinnsbevegelse</b></div>emotion</div>"
"sinnsbevegelse, følelse","<div class=""article""><div class=""k""><b>sinnsbevegelse, følelse</b></div>emotion</div>"
"sinnslikevekt","<div class=""article""><div class=""k""><b>sinnslikevekt</b></div>equanimity</div>"
"sinnssykdom","<div class=""article""><div class=""k""><b>sinnssykdom</b></div>insanity</div>"
"sinnsyk","<div class=""article""><div class=""k""><b>sinnsyk</b></div>insane</div>"
"sint","<div class=""article""><div class=""k""><b>sint</b></div>fierce</div>"
"sirkel","<div class=""article""><div class=""k""><b>sirkel</b></div>circle</div>"
"sist","<div class=""article""><div class=""k""><b>sist</b></div>final</div>"
"siste","<div class=""article""><div class=""k""><b>siste</b></div>last, latter</div>"
"sistnevnte","<div class=""article""><div class=""k""><b>sistnevnte</b></div>latter</div>"
"sistnevnte, siste","<div class=""article""><div class=""k""><b>sistnevnte, siste</b></div>latter</div>"
"sitar","<div class=""article""><div class=""k""><b>sitar</b></div>zither</div>"
"sitat","<div class=""article""><div class=""k""><b>sitat</b></div>quotation</div>"
"sitere","<div class=""article""><div class=""k""><b>sitere</b></div>quote</div>"
"sitere, notere","<div class=""article""><div class=""k""><b>sitere, notere</b></div>quote</div>"
"sitron","<div class=""article""><div class=""k""><b>sitron</b></div>lemon</div>"
"sitronskall","<div class=""article""><div class=""k""><b>sitronskall</b></div>lemonrind</div>"
"sitte","<div class=""article""><div class=""k""><b>sitte</b></div>sit</div>"
"sitte-tribune","<div class=""article""><div class=""k""><b>sitte-tribune</b></div>grandstand</div>"
"sjakal","<div class=""article""><div class=""k""><b>sjakal</b></div>jackal</div>"
"sjakk","<div class=""article""><div class=""k""><b>sjakk</b></div>chess</div>"
"sjal","<div class=""article""><div class=""k""><b>sjal</b></div>shawl</div>"
"sjalu","<div class=""article""><div class=""k""><b>sjalu</b></div>jealous</div>"
"sjalusi","<div class=""article""><div class=""k""><b>sjalusi</b></div>jeakousy</div>"
"sjangle","<div class=""article""><div class=""k""><b>sjangle</b></div>lurch</div>"
"sjangle, krenging","<div class=""article""><div class=""k""><b>sjangle, krenging</b></div>lurch</div>"
"sjekk","<div class=""article""><div class=""k""><b>sjekk</b></div>check, cheque<br/>check<br/>cheque</div>"
"sjelsstyrke","<div class=""article""><div class=""k""><b>sjelsstyrke</b></div>fortitude</div>"
"sjenert","<div class=""article""><div class=""k""><b>sjenert</b></div>afraid, coy, timid<br/>afraid<br/>coy<br/>timid</div>"
"sjeselong","<div class=""article""><div class=""k""><b>sjeselong</b></div>sofa</div>"
"sjette","<div class=""article""><div class=""k""><b>sjette</b></div>sixth</div>"
"sjokkere","<div class=""article""><div class=""k""><b>sjokkere</b></div>horrify</div>"
"sjokkere, forferde","<div class=""article""><div class=""k""><b>sjokkere, forferde</b></div>horrify</div>"
"sjokolade","<div class=""article""><div class=""k""><b>sjokolade</b></div>chocolate</div>"
"sjonglere","<div class=""article""><div class=""k""><b>sjonglere</b></div>juggle</div>"
"sjonglør","<div class=""article""><div class=""k""><b>sjonglør</b></div>juggler</div>"
"sju","<div class=""article""><div class=""k""><b>sju</b></div>seven</div>"
"sjy","<div class=""article""><div class=""k""><b>sjy</b></div>broth, gravy</div>"
"sjy, kjøttkraft","<div class=""article""><div class=""k""><b>sjy, kjøttkraft</b></div>broth</div>"
"sjåfør","<div class=""article""><div class=""k""><b>sjåfør</b></div>chauffeur<br/>conductor<br/>driver, conductor, chauffeur</div>"
"sjåfør, fører","<div class=""article""><div class=""k""><b>sjåfør, fører</b></div>driver</div>"
"sjåvinisme","<div class=""article""><div class=""k""><b>sjåvinisme</b></div>chauvinism</div>"
"sjø","<div class=""article""><div class=""k""><b>sjø</b></div>lake, loch</div>"
"sjø, fjord, innsjø","<div class=""article""><div class=""k""><b>sjø, fjord, innsjø</b></div>loch</div>"
"sjø, innsjø","<div class=""article""><div class=""k""><b>sjø, innsjø</b></div>lake</div>"
"sjømann","<div class=""article""><div class=""k""><b>sjømann</b></div>sailor</div>"
"sjømerke","<div class=""article""><div class=""k""><b>sjømerke</b></div>beacon</div>"
"sjøsette","<div class=""article""><div class=""k""><b>sjøsette</b></div>launch</div>"
"skabb","<div class=""article""><div class=""k""><b>skabb</b></div>itch</div>"
"skade","<div class=""article""><div class=""k""><b>skade</b></div>bruise<br/>detriment<br/>hurt, bruise, harm, injury, injure, detriment</div>"
"skade, krenkelse","<div class=""article""><div class=""k""><b>skade, krenkelse</b></div>injury</div>"
"skadelig","<div class=""article""><div class=""k""><b>skadelig</b></div>detrimental, harmful, injurious<br/>detrimental<br/>harmful</div>"
"skadelig, krenkende","<div class=""article""><div class=""k""><b>skadelig, krenkende</b></div>injurious</div>"
"skadeserstatning","<div class=""article""><div class=""k""><b>skadeserstatning</b></div>indemnity</div>"
"skall","<div class=""article""><div class=""k""><b>skall</b></div>husk</div>"
"skalle","<div class=""article""><div class=""k""><b>skalle</b></div>hull, skull<br/>skull</div>"
"skalle av","<div class=""article""><div class=""k""><b>skalle av</b></div>flake off</div>"
"skalle av, flasse","<div class=""article""><div class=""k""><b>skalle av, flasse</b></div>flake off</div>"
"skalle, belg, skrog, rense","<div class=""article""><div class=""k""><b>skalle, belg, skrog, rense</b></div>hull</div>"
"skallet","<div class=""article""><div class=""k""><b>skallet</b></div>bald</div>"
"skam","<div class=""article""><div class=""k""><b>skam</b></div>dishonour</div>"
"skammelig","<div class=""article""><div class=""k""><b>skammelig</b></div>disgraceful<br/>iniquitous, infamous, disgraceful</div>"
"skammelig, urettferdig","<div class=""article""><div class=""k""><b>skammelig, urettferdig</b></div>iniquitous</div>"
"skansekledning","<div class=""article""><div class=""k""><b>skansekledning</b></div>bulwark</div>"
"skap","<div class=""article""><div class=""k""><b>skap</b></div>locker</div>"
"skape","<div class=""article""><div class=""k""><b>skape</b></div>create</div>"
"skapelse","<div class=""article""><div class=""k""><b>skapelse</b></div>creation</div>"
"skaper","<div class=""article""><div class=""k""><b>skaper</b></div>creator</div>"
"skaperevne","<div class=""article""><div class=""k""><b>skaperevne</b></div>creativity</div>"
"skapning","<div class=""article""><div class=""k""><b>skapning</b></div>being</div>"
"skapning, eksistens","<div class=""article""><div class=""k""><b>skapning, eksistens</b></div>being</div>"
"skar","<div class=""article""><div class=""k""><b>skar</b></div>glen</div>"
"skar, fjelldal","<div class=""article""><div class=""k""><b>skar, fjelldal</b></div>glen</div>"
"skare","<div class=""article""><div class=""k""><b>skare</b></div>crust, host</div>"
"skare, skorpe","<div class=""article""><div class=""k""><b>skare, skorpe</b></div>crust</div>"
"skarp","<div class=""article""><div class=""k""><b>skarp</b></div>keen, acute</div>"
"skarp, gløgg","<div class=""article""><div class=""k""><b>skarp, gløgg</b></div>acute</div>"
"skarp, ivrig","<div class=""article""><div class=""k""><b>skarp, ivrig</b></div>keen</div>"
"skarpsindig","<div class=""article""><div class=""k""><b>skarpsindig</b></div>canny<br/>discerning, canny, ingenious</div>"
"skarpsindig, oppfinnsom","<div class=""article""><div class=""k""><b>skarpsindig, oppfinnsom</b></div>ingenious</div>"
"skarpt","<div class=""article""><div class=""k""><b>skarpt</b></div>incisive</div>"
"skarpt lys","<div class=""article""><div class=""k""><b>skarpt lys</b></div>glare</div>"
"skarpt lys, skinne, blikk, blende","<div class=""article""><div class=""k""><b>skarpt lys, skinne, blikk, blende</b></div>glare</div>"
"skatt","<div class=""article""><div class=""k""><b>skatt</b></div>imposition, tax, levy<br/>tax</div>"
"skavank","<div class=""article""><div class=""k""><b>skavank</b></div>blemish</div>"
"skavank, skjemme","<div class=""article""><div class=""k""><b>skavank, skjemme</b></div>blemish</div>"
"skeptisk","<div class=""article""><div class=""k""><b>skeptisk</b></div>skeptic</div>"
"ski","<div class=""article""><div class=""k""><b>ski</b></div>ski</div>"
"skibbrudden","<div class=""article""><div class=""k""><b>skibbrudden</b></div>castaway</div>"
"skiftenøkkel","<div class=""article""><div class=""k""><b>skiftenøkkel</b></div>monkey-wrench<br/>shifting spanner, monkey-wrench<br/>shifting spanner</div>"
"skikk","<div class=""article""><div class=""k""><b>skikk</b></div>custom</div>"
"skikkelig","<div class=""article""><div class=""k""><b>skikkelig</b></div>decent</div>"
"skikkelse","<div class=""article""><div class=""k""><b>skikkelse</b></div>figure, form</div>"
"skikkelse, forme, form, skjema, danne, skoleklasse","<div class=""article""><div class=""k""><b>skikkelse, forme, form, skjema, danne, skoleklasse</b></div>form</div>"
"skikket","<div class=""article""><div class=""k""><b>skikket</b></div>fit</div>"
"skikket, passende","<div class=""article""><div class=""k""><b>skikket, passende</b></div>fit</div>"
"skildmisse","<div class=""article""><div class=""k""><b>skildmisse</b></div>divorce</div>"
"skildmisse, skilles","<div class=""article""><div class=""k""><b>skildmisse, skilles</b></div>divorce</div>"
"skildre","<div class=""article""><div class=""k""><b>skildre</b></div>depict</div>"
"skildre, avbilde","<div class=""article""><div class=""k""><b>skildre, avbilde</b></div>depict</div>"
"skille","<div class=""article""><div class=""k""><b>skille</b></div>divide</div>"
"skille ut","<div class=""article""><div class=""k""><b>skille ut</b></div>excrete</div>"
"skille ut, utsondre","<div class=""article""><div class=""k""><b>skille ut, utsondre</b></div>excrete</div>"
"skille, dele, dividere","<div class=""article""><div class=""k""><b>skille, dele, dividere</b></div>divide</div>"
"skilles","<div class=""article""><div class=""k""><b>skilles</b></div>divorce</div>"
"skilt","<div class=""article""><div class=""k""><b>skilt</b></div>sign</div>"
"skilt, signere","<div class=""article""><div class=""k""><b>skilt, signere</b></div>sign</div>"
"skimte","<div class=""article""><div class=""k""><b>skimte</b></div>glimpse</div>"
"skimte, glimt","<div class=""article""><div class=""k""><b>skimte, glimt</b></div>glimpse</div>"
"skinke","<div class=""article""><div class=""k""><b>skinke</b></div>ham</div>"
"skinn","<div class=""article""><div class=""k""><b>skinn</b></div>fleece, hide</div>"
"skinne","<div class=""article""><div class=""k""><b>skinne</b></div>gleam, glare</div>"
"skinnende","<div class=""article""><div class=""k""><b>skinnende</b></div>lustrous</div>"
"skinnforet","<div class=""article""><div class=""k""><b>skinnforet</b></div>furlined</div>"
"skinnhellighet","<div class=""article""><div class=""k""><b>skinnhellighet</b></div>hypocrisy</div>"
"skinnhellighet, hykleri","<div class=""article""><div class=""k""><b>skinnhellighet, hykleri</b></div>hypocrisy</div>"
"skipsled","<div class=""article""><div class=""k""><b>skipsled</b></div>fairway</div>"
"skitt","<div class=""article""><div class=""k""><b>skitt</b></div>dirt<br/>filth, dirt, grime, shit<br/>shit</div>"
"skitt, smuss","<div class=""article""><div class=""k""><b>skitt, smuss</b></div>filth</div>"
"skitten","<div class=""article""><div class=""k""><b>skitten</b></div>filthy<br/>grimy, unclean, foul, grubby, filthy, soiled<br/>grubby<br/>soiled<br/>unclean</div>"
"skje","<div class=""article""><div class=""k""><b>skje</b></div>happen, spoon<br/>spoon</div>"
"skjebne","<div class=""article""><div class=""k""><b>skjebne</b></div>destiny, fortune, lot, fate<br/>destiny<br/>fate</div>"
"skjebnebestemt","<div class=""article""><div class=""k""><b>skjebnebestemt</b></div>fatality</div>"
"skjebnebestemt, ulykke","<div class=""article""><div class=""k""><b>skjebnebestemt, ulykke</b></div>fatality</div>"
"skjebnesvanger","<div class=""article""><div class=""k""><b>skjebnesvanger</b></div>fatal, fateful<br/>fateful</div>"
"skjebnesvanger, dødbringende","<div class=""article""><div class=""k""><b>skjebnesvanger, dødbringende</b></div>fatal</div>"
"skjebnesvangert","<div class=""article""><div class=""k""><b>skjebnesvangert</b></div>fatally</div>"
"skjegg","<div class=""article""><div class=""k""><b>skjegg</b></div>beard</div>"
"skjelett","<div class=""article""><div class=""k""><b>skjelett</b></div>skeleton, framework, frame<br/>skeleton</div>"
"skjelett, rammeverk","<div class=""article""><div class=""k""><b>skjelett, rammeverk</b></div>framework</div>"
"skjelle ut","<div class=""article""><div class=""k""><b>skjelle ut</b></div>abuse</div>"
"skjelne","<div class=""article""><div class=""k""><b>skjelne</b></div>discern, distinguish<br/>discern</div>"
"skjelve","<div class=""article""><div class=""k""><b>skjelve</b></div>quake, quaver, quiver</div>"
"skjelve, rystelse, skjelving","<div class=""article""><div class=""k""><b>skjelve, rystelse, skjelving</b></div>quake</div>"
"skjelving","<div class=""article""><div class=""k""><b>skjelving</b></div>quaver, quake, quiver</div>"
"skjema","<div class=""article""><div class=""k""><b>skjema</b></div>form</div>"
"skjemme","<div class=""article""><div class=""k""><b>skjemme</b></div>blemish</div>"
"skjende","<div class=""article""><div class=""k""><b>skjende</b></div>desecrate</div>"
"skjende, vanhellige","<div class=""article""><div class=""k""><b>skjende, vanhellige</b></div>desecrate</div>"
"skjenke","<div class=""article""><div class=""k""><b>skjenke</b></div>bestow, grant, give</div>"
"skjev","<div class=""article""><div class=""k""><b>skjev</b></div>lopsided, leaning</div>"
"skjev, tilbøyelighet","<div class=""article""><div class=""k""><b>skjev, tilbøyelighet</b></div>leaning</div>"
"skjev, usymmetrisk","<div class=""article""><div class=""k""><b>skjev, usymmetrisk</b></div>lopsided</div>"
"skjorte","<div class=""article""><div class=""k""><b>skjorte</b></div>shirt</div>"
"skjorte, trøye","<div class=""article""><div class=""k""><b>skjorte, trøye</b></div>shirt</div>"
"skjul","<div class=""article""><div class=""k""><b>skjul</b></div>cover</div>"
"skjule","<div class=""article""><div class=""k""><b>skjule</b></div>hide</div>"
"skjulested","<div class=""article""><div class=""k""><b>skjulested</b></div>hidingplace</div>"
"skjære","<div class=""article""><div class=""k""><b>skjære</b></div>carve, cut, slice<br/>slice</div>"
"skjære hakk i","<div class=""article""><div class=""k""><b>skjære hakk i</b></div>indent</div>"
"skjære i stykker","<div class=""article""><div class=""k""><b>skjære i stykker</b></div>hash</div>"
"skjære ned på","<div class=""article""><div class=""k""><b>skjære ned på</b></div>curtail</div>"
"skjære, hogge ut","<div class=""article""><div class=""k""><b>skjære, hogge ut</b></div>carve</div>"
"skjære, klippe","<div class=""article""><div class=""k""><b>skjære, klippe</b></div>cut</div>"
"skjæringspunkt","<div class=""article""><div class=""k""><b>skjæringspunkt</b></div>intersection</div>"
"skjødehund","<div class=""article""><div class=""k""><b>skjødehund</b></div>lapdog</div>"
"skjøge","<div class=""article""><div class=""k""><b>skjøge</b></div>harlot</div>"
"skjøge, hore","<div class=""article""><div class=""k""><b>skjøge, hore</b></div>harlot</div>"
"skjønn","<div class=""article""><div class=""k""><b>skjønn</b></div>beautiful, judgement, fine</div>"
"skjønn, bøtele, vakker, utmerket, bot, mulkt, pen","<div class=""article""><div class=""k""><b>skjønn, bøtele, vakker, utmerket, bot, mulkt, pen</b></div>fine</div>"
"skjønnlitteratur","<div class=""article""><div class=""k""><b>skjønnlitteratur</b></div>fiction</div>"
"skjønnlitteratur, diktning, oppdiktning","<div class=""article""><div class=""k""><b>skjønnlitteratur, diktning, oppdiktning</b></div>fiction</div>"
"skjør","<div class=""article""><div class=""k""><b>skjør</b></div>breakable, fragile, brittle<br/>breakable</div>"
"skjør, skrøpelig","<div class=""article""><div class=""k""><b>skjør, skrøpelig</b></div>fragile</div>"
"skjør, sprø","<div class=""article""><div class=""k""><b>skjør, sprø</b></div>brittle</div>"
"skjøt","<div class=""article""><div class=""k""><b>skjøt</b></div>joint</div>"
"skjøte","<div class=""article""><div class=""k""><b>skjøte</b></div>join, joint</div>"
"skjøteledning","<div class=""article""><div class=""k""><b>skjøteledning</b></div>extencionflex, extension lead<br/>extencionflex<br/>extension lead</div>"
"sko","<div class=""article""><div class=""k""><b>sko</b></div>shoe</div>"
"skodde","<div class=""article""><div class=""k""><b>skodde</b></div>fog, mist</div>"
"skog","<div class=""article""><div class=""k""><b>skog</b></div>woods, forest, forest<br/>woods</div>"
"skog, skog","<div class=""article""><div class=""k""><b>skog, skog</b></div>forest</div>"
"skogforvaltning","<div class=""article""><div class=""k""><b>skogforvaltning</b></div>forestmanagement</div>"
"skogholt","<div class=""article""><div class=""k""><b>skogholt</b></div>grove</div>"
"skogholt, lund","<div class=""article""><div class=""k""><b>skogholt, lund</b></div>grove</div>"
"skogindustri","<div class=""article""><div class=""k""><b>skogindustri</b></div>forestry</div>"
"skogindustri, skogvesen","<div class=""article""><div class=""k""><b>skogindustri, skogvesen</b></div>forestry</div>"
"skogplantning","<div class=""article""><div class=""k""><b>skogplantning</b></div>forestation</div>"
"skogvesen","<div class=""article""><div class=""k""><b>skogvesen</b></div>forestry</div>"
"skogvokter","<div class=""article""><div class=""k""><b>skogvokter</b></div>gamekeeper</div>"
"skole","<div class=""article""><div class=""k""><b>skole</b></div>school, school</div>"
"skole, skole","<div class=""article""><div class=""k""><b>skole, skole</b></div>school</div>"
"skoleklasse","<div class=""article""><div class=""k""><b>skoleklasse</b></div>form</div>"
"skomaker","<div class=""article""><div class=""k""><b>skomaker</b></div>shoemaker</div>"
"skorpe","<div class=""article""><div class=""k""><b>skorpe</b></div>crust</div>"
"skorstein","<div class=""article""><div class=""k""><b>skorstein</b></div>funnel</div>"
"skorstein, trakt","<div class=""article""><div class=""k""><b>skorstein, trakt</b></div>funnel</div>"
"skramle","<div class=""article""><div class=""k""><b>skramle</b></div>jangle</div>"
"skramling","<div class=""article""><div class=""k""><b>skramling</b></div>jangle</div>"
"skranke","<div class=""article""><div class=""k""><b>skranke</b></div>desk</div>"
"skranke, pult","<div class=""article""><div class=""k""><b>skranke, pult</b></div>desk</div>"
"skrap","<div class=""article""><div class=""k""><b>skrap</b></div>lumber, junk</div>"
"skraphandel","<div class=""article""><div class=""k""><b>skraphandel</b></div>junkshop</div>"
"skravere","<div class=""article""><div class=""k""><b>skravere</b></div>hatch</div>"
"skravle","<div class=""article""><div class=""k""><b>skravle</b></div>gab<br/>jaw, gab</div>"
"skred","<div class=""article""><div class=""k""><b>skred</b></div>avalanche<br/>landslide, avalanche<br/>landslide</div>"
"skredder","<div class=""article""><div class=""k""><b>skredder</b></div>tailor</div>"
"skrekk","<div class=""article""><div class=""k""><b>skrekk</b></div>dread, fright<br/>fright</div>"
"skrekk, frykt","<div class=""article""><div class=""k""><b>skrekk, frykt</b></div>dread</div>"
"skrekkelig","<div class=""article""><div class=""k""><b>skrekkelig</b></div>frightful<br/>hideous, frightful</div>"
"skrelle","<div class=""article""><div class=""k""><b>skrelle</b></div>husk</div>"
"skrelle, skall, pille","<div class=""article""><div class=""k""><b>skrelle, skall, pille</b></div>husk</div>"
"skremme","<div class=""article""><div class=""k""><b>skremme</b></div>frighten<br/>intimidate, scare, frighten<br/>intimidate<br/>scare</div>"
"skremmende","<div class=""article""><div class=""k""><b>skremmende</b></div>daunting</div>"
"skremming","<div class=""article""><div class=""k""><b>skremming</b></div>intimidation</div>"
"skrent","<div class=""article""><div class=""k""><b>skrent</b></div>cliff</div>"
"skrifte","<div class=""article""><div class=""k""><b>skrifte</b></div>confess</div>"
"skrifte, tilstå","<div class=""article""><div class=""k""><b>skrifte, tilstå</b></div>confess</div>"
"skrike","<div class=""article""><div class=""k""><b>skrike</b></div>cry out<br/>scream<br/>shout, scream, cry out<br/>shout</div>"
"skrikende","<div class=""article""><div class=""k""><b>skrikende</b></div>loud, clamorous</div>"
"skrikende, larmende","<div class=""article""><div class=""k""><b>skrikende, larmende</b></div>clamorous</div>"
"skritt","<div class=""article""><div class=""k""><b>skritt</b></div>crotch</div>"
"skrive","<div class=""article""><div class=""k""><b>skrive</b></div>type<br/>write, type<br/>write</div>"
"skrive inn","<div class=""article""><div class=""k""><b>skrive inn</b></div>enrol, inscribe</div>"
"skriveferdighet","<div class=""article""><div class=""k""><b>skriveferdighet</b></div>literacy</div>"
"skrivemaskin","<div class=""article""><div class=""k""><b>skrivemaskin</b></div>typewriter</div>"
"skriver","<div class=""article""><div class=""k""><b>skriver</b></div>printer</div>"
"skrog","<div class=""article""><div class=""k""><b>skrog</b></div>hull</div>"
"skrubbsulten","<div class=""article""><div class=""k""><b>skrubbsulten</b></div>famished</div>"
"skrue","<div class=""article""><div class=""k""><b>skrue</b></div>screw</div>"
"skrujern","<div class=""article""><div class=""k""><b>skrujern</b></div>screwdriver</div>"
"skrullete","<div class=""article""><div class=""k""><b>skrullete</b></div>balmy</div>"
"skrullete, mild","<div class=""article""><div class=""k""><b>skrullete, mild</b></div>balmy</div>"
"skrupler","<div class=""article""><div class=""k""><b>skrupler</b></div>qualms</div>"
"skrupler, betenkeligheter","<div class=""article""><div class=""k""><b>skrupler, betenkeligheter</b></div>qualms</div>"
"skryte","<div class=""article""><div class=""k""><b>skryte</b></div>boast, brag<br/>boast<br/>brag</div>"
"skråle","<div class=""article""><div class=""k""><b>skråle</b></div>bawl</div>"
"skråle, brøle","<div class=""article""><div class=""k""><b>skråle, brøle</b></div>bawl</div>"
"skråne","<div class=""article""><div class=""k""><b>skråne</b></div>incline</div>"
"skrånende","<div class=""article""><div class=""k""><b>skrånende</b></div>inclined</div>"
"skrånende, tilbøyelig","<div class=""article""><div class=""k""><b>skrånende, tilbøyelig</b></div>inclined</div>"
"skråning","<div class=""article""><div class=""k""><b>skråning</b></div>incline</div>"
"skråning, skråne, helle","<div class=""article""><div class=""k""><b>skråning, skråne, helle</b></div>incline</div>"
"skrøne","<div class=""article""><div class=""k""><b>skrøne</b></div>yarn, fairytale</div>"
"skrøne, eventyr","<div class=""article""><div class=""k""><b>skrøne, eventyr</b></div>fairytale</div>"
"skrøne, garn","<div class=""article""><div class=""k""><b>skrøne, garn</b></div>yarn</div>"
"skrøpelig","<div class=""article""><div class=""k""><b>skrøpelig</b></div>fragile, frail</div>"
"skrøpelighet","<div class=""article""><div class=""k""><b>skrøpelighet</b></div>infirmity, frailty</div>"
"skrøpelighet, svakelighet","<div class=""article""><div class=""k""><b>skrøpelighet, svakelighet</b></div>infirmity</div>"
"skubbe","<div class=""article""><div class=""k""><b>skubbe</b></div>jostle, hustle</div>"
"skubbe, puffe","<div class=""article""><div class=""k""><b>skubbe, puffe</b></div>jostle</div>"
"skubbe, trekke på gaten, trengsel, dytte","<div class=""article""><div class=""k""><b>skubbe, trekke på gaten, trengsel, dytte</b></div>hustle</div>"
"skudd","<div class=""article""><div class=""k""><b>skudd</b></div>hype</div>"
"skue","<div class=""article""><div class=""k""><b>skue</b></div>behold</div>"
"skue, se","<div class=""article""><div class=""k""><b>skue, se</b></div>behold</div>"
"skuespiller","<div class=""article""><div class=""k""><b>skuespiller</b></div>actor</div>"
"skuff","<div class=""article""><div class=""k""><b>skuff</b></div>drawer</div>"
"skuffe","<div class=""article""><div class=""k""><b>skuffe</b></div>disappoint</div>"
"skuffelse","<div class=""article""><div class=""k""><b>skuffelse</b></div>disappointment, frustration<br/>disappointment</div>"
"skuffelse, forpurring","<div class=""article""><div class=""k""><b>skuffelse, forpurring</b></div>frustration</div>"
"skuffet","<div class=""article""><div class=""k""><b>skuffet</b></div>disappointed</div>"
"skulder","<div class=""article""><div class=""k""><b>skulder</b></div>shoulder</div>"
"skuls","<div class=""article""><div class=""k""><b>skuls</b></div>quits</div>"
"skum","<div class=""article""><div class=""k""><b>skum</b></div>froth, foam, lather</div>"
"skum, skumme","<div class=""article""><div class=""k""><b>skum, skumme</b></div>foam<br/>lather</div>"
"skumme","<div class=""article""><div class=""k""><b>skumme</b></div>froth, lather, foam, fizz</div>"
"skumme, bruse","<div class=""article""><div class=""k""><b>skumme, bruse</b></div>fizz</div>"
"skumme, fråde, skum","<div class=""article""><div class=""k""><b>skumme, fråde, skum</b></div>froth</div>"
"skummende","<div class=""article""><div class=""k""><b>skummende</b></div>foamy</div>"
"skumpe","<div class=""article""><div class=""k""><b>skumpe</b></div>jolt</div>"
"skumpe, støte, støt","<div class=""article""><div class=""k""><b>skumpe, støte, støt</b></div>jolt</div>"
"skumring","<div class=""article""><div class=""k""><b>skumring</b></div>dusk, twilight<br/>dusk<br/>twilight</div>"
"skur","<div class=""article""><div class=""k""><b>skur</b></div>hovel</div>"
"skurre","<div class=""article""><div class=""k""><b>skurre</b></div>grate</div>"
"skvalpe","<div class=""article""><div class=""k""><b>skvalpe</b></div>lap</div>"
"skvett","<div class=""article""><div class=""k""><b>skvett</b></div>dash</div>"
"sky","<div class=""article""><div class=""k""><b>sky</b></div>cloud</div>"
"skygge","<div class=""article""><div class=""k""><b>skygge</b></div>shadow</div>"
"skyld","<div class=""article""><div class=""k""><b>skyld</b></div>fault, guilt<br/>guilt</div>"
"skyldig","<div class=""article""><div class=""k""><b>skyldig</b></div>due, guilty<br/>guilty</div>"
"skyldig i incest","<div class=""article""><div class=""k""><b>skyldig i incest</b></div>incestuous</div>"
"skyldig, forfallen","<div class=""article""><div class=""k""><b>skyldig, forfallen</b></div>due</div>"
"skynde på","<div class=""article""><div class=""k""><b>skynde på</b></div>hasten</div>"
"skynde seg","<div class=""article""><div class=""k""><b>skynde seg</b></div>hasten</div>"
"skynde seg, skynde på","<div class=""article""><div class=""k""><b>skynde seg, skynde på</b></div>hasten</div>"
"skyte inn","<div class=""article""><div class=""k""><b>skyte inn</b></div>insert</div>"
"skyting","<div class=""article""><div class=""k""><b>skyting</b></div>firing</div>"
"skyting, avfyring, tenning","<div class=""article""><div class=""k""><b>skyting, avfyring, tenning</b></div>firing</div>"
"skytsånd","<div class=""article""><div class=""k""><b>skytsånd</b></div>genius</div>"
"skytsånd, geni","<div class=""article""><div class=""k""><b>skytsånd, geni</b></div>genius</div>"
"skål","<div class=""article""><div class=""k""><b>skål</b></div>bowl<br/>pelvis, bowl<br/>pelvis</div>"
"skånsom","<div class=""article""><div class=""k""><b>skånsom</b></div>lenient</div>"
"skår","<div class=""article""><div class=""k""><b>skår</b></div>indentation, hack</div>"
"skår, hakke","<div class=""article""><div class=""k""><b>skår, hakke</b></div>hack</div>"
"skøyer","<div class=""article""><div class=""k""><b>skøyer</b></div>imp</div>"
"skøyte","<div class=""article""><div class=""k""><b>skøyte</b></div>skate</div>"
"sladder","<div class=""article""><div class=""k""><b>sladder</b></div>gossip</div>"
"sladder, sladre","<div class=""article""><div class=""k""><b>sladder, sladre</b></div>gossip</div>"
"sladre","<div class=""article""><div class=""k""><b>sladre</b></div>gossip</div>"
"slag","<div class=""article""><div class=""k""><b>slag</b></div>beat<br/>hit, beat</div>"
"slagferdig","<div class=""article""><div class=""k""><b>slagferdig</b></div>quickwitted</div>"
"slagg","<div class=""article""><div class=""k""><b>slagg</b></div>cinder</div>"
"slagmark","<div class=""article""><div class=""k""><b>slagmark</b></div>battlefield</div>"
"slagside","<div class=""article""><div class=""k""><b>slagside</b></div>list</div>"
"slagside, fortegnelse, liste, listeføre","<div class=""article""><div class=""k""><b>slagside, fortegnelse, liste, listeføre</b></div>list</div>"
"slagsmål","<div class=""article""><div class=""k""><b>slagsmål</b></div>brawl, fight</div>"
"slagsmål, klammeri","<div class=""article""><div class=""k""><b>slagsmål, klammeri</b></div>brawl</div>"
"slakke","<div class=""article""><div class=""k""><b>slakke</b></div>ease</div>"
"slakke, letthet, lette, velbehag","<div class=""article""><div class=""k""><b>slakke, letthet, lette, velbehag</b></div>ease</div>"
"slakter","<div class=""article""><div class=""k""><b>slakter</b></div>butcher</div>"
