Norwegian,English
skummende,foamy
skumpe,jolt
"skumpe, støte, støt",jolt
skumring,"dusk, twilight"
skur,hovel
skurre,grate
skvalpe,lap
skvett,dash
sky,cloud
skygge,shadow
skyld,"fault, guilt"
skyldig,"due, guilty"
skyldig i incest,incestuous
"skyldig, forfallen",due
skynde på,hasten
skynde seg,hasten
"skynde seg, skynde på",hasten
skyte inn,insert
skyting,firing
"skyting, avfyring, tenning",firing
skytsånd,genius
"skytsånd, geni",genius
skål,bowl pelvis
skånsom,lenient
skår,"indentation, hack"
"skår, hakke",hack
skøyer,imp
skøyte,skate
sladder,gossip
"sladder, sladre",gossip
sladre,gossip
slag,"beat, hit"
slagferdig,quickwitted
slagg,cinder
slagmark,battlefield
slagside,list
"slagside, fortegnelse, liste, listeføre",list
slagsmål,"brawl, fight"
"slagsmål, klammeri",brawl
slakke,ease
"slakke, letthet, lette, velbehag",ease
slakter,butcher
slamp,lout
slange,"hose, tube"
"slange, strømpe",hose
slangeagurk,cucumber
"slangeagurk, agurk",cucumber
slapp,"floppy, lax, limp, flabby"
"slapp, pløsete",flabby
slapphet,laxity
slede,sleigh
slegge,hammer
sleiv,ladle
"sleiv, øse",ladle
slekt,kin
slektsforsker,geneologist
slektsforskning,geneology
slektshistorie,geneology
"slektshistorie, slektsforskning",geneology
slektskap,kindred
"slektskap, beslektet",kindred
slektsledd,generation
slenge,fling
slentre,"loiter, lounge"
slepe,lug
slepenot,dragnet
slepetau,towing-line
slette,"flat, delete"
slikk,lick
"slikk, slikke",lick
slikke,lick
slimløsende,expectorant
slipe,grind
"slipe, maling, male",grind
slipestein,grindstone
slips,necktie tie
slit,"fag, labour"
slite,"fag, labour"
slite på,fret
"slite på, gnage, ergre, irritere",fret
"slite, slit, sigarett",fag
slokke,extinguish
slokking,extinction
slokkingsapparat,extinguisher
sloknet,extinct
slott,"castle, palace"
slu,astute
"slu, gløgg",astute
sluke,"devour, gobble, gulp"
"sluke, svelge, jafs, slurk",gulp
slukke,quench
"slukke, slå ned",quench
slukt,canyon
"slukt, juv",canyon
slumre,doze
"slumre, døse",doze
slurk,"draught, gulp"
"slurk, trekk",draught
sluse,lock
sluseport,"floodgate, lock gate"
slutning,inference
slutt,"ending, end, finish"
"slutt, endelse, avslutning",ending
slutte,"deduce, quit"
slutte seg til,"enlist, infer, join"
"slutte seg til, antyde",infer
sluttføre,finalize
sluttstrøk,finish
slynge,hurl
"slynge, kaste",hurl
slå,"flop, hit"
slå av,turn off
slå feil,fail
slå ned,quench
slå seg løs,"have, a fling"
slå telefonnummer,dial
"slå, deise, fiasko, bakse",flop
slåbrok,dressing gown
slåss,fight
"slåss, kjempe, slagsmål, kamp",fight
slåsshanske,knuckleduster
sløv,"dull, blunt, languid"
"sløv, trist, treg, kjedelig, matt",dull
sløvet,jaded
"sløvet, trett",jaded
sløvhetstilstand,languor
sløye,gut
sløyfe,loop
smak,"taste, flavour"
"smak, aroma",flavour
smakfull,elegant
"smakfull, elegant",elegant
smakløs,insipid
smal,narrow
smalfilm,cine
smaragd,emerald
smedeskrift,lampoon
smekke,bib
smekklås,latch
"smekklås, klinke",latch
smerte,pain
smette,flit
smette unna,dodge
smiger,flattery
smigre,flatter
smigrer,flatterer
smile bredt,grin
"smile bredt, glise",grin
smilehull,dimple
sminke,make-up
smitte,"contagion, infect, infection"
"smitte, infisere",infect
smittebærer,germcarrier
smittende,infectious
smittsom,"contagous, infectious"
"smittsom, smittende",infectious
smuglytte,eavesdrop
smule,crumb
smult,lard
"smult, spekk",lard
smuss,filth
smutthull,loophole
smykke,"jewel, adorn"
"smykke, juvel",jewel
smykker,jewellery
småerte,banter
smør,butter
smøre,"anoint, lubricate, smear, spread"
smøremiddel,lubricant
smøreri,daub
smøring,lubrication
snadre,"cackle, quack"
"snadre, kakle",cackle
snadring,quack
snakke,"speak, talk"
snakke med slepende tonefall,drawl
"snakke, tale",talk
snakkesalig,garrulous
snappe,grab
snappe opp,intercept
"snappe opp, avskjære",intercept
snartenkt,quickwitted
"snartenkt, slagferdig",quickwitted
sne,snow
snekker,carpenter
snert,lash
snikmorder,assassin
snill,"good, kind"
snipp,collar
snirkel,flourish
snor,line
snuble,"stumble, falter"
"snuble, nøle, svikte",falter
snurt,huffy
"snurt, fornermet",huffy
snusket,dingy
snøre,lace
snøstorm,blizzard
sofa,"sofa, couch"
"sofa, salong",couch
"sofa, sjeselong",sofa
sofagruppe,lounge suite
sokk,sock
sokkeholder,garter
"sokkeholder, strømpebånd",garter
sol,sun
solbriller,sun-glasses
soldat,pawn soldier
solnedgang,sunset
solseil,awning
"solseil, markise",awning
som,like
"som, lik",like
somle,linger
"somle, nøle",linger
somletog,slow train
sommel,lag
sommer,summer
sommerfugl,butterfly
sone,zone
sopelime,broom
"sopelime, kost",broom
sopp,fungus mushroom
soppdreper,fungicide
sorg,"grief, sorrow, sadness"
sot,grime
"sot, skitt",grime
sotete,grimy
"sotete, skitten",grimy
sove,"be asleep, sleep"
"sove, søvn, sove",sleep
sovepose,sleepingbag
soverom,bedroom
sovevogn,sleeping-car
spak,lever
"spak, jekke, vektstang",lever
spalting,fission
spann,bucket
spark,kick
sparke,"fire, kick"
"sparke, spark",kick
sparsommelig,frugal
"sparsommelig, nøysom",frugal
spasere,"walk, stroll, go for a walk"
"spasere, spasertur",stroll
spasertur,"stroll, walk"
spebarn,baby
spedalsk,"leper, leprous"
spedalskhet,leprosy
spedbarn,infant
speditør,forwarding agent
speil,"mirror, glass"
"speil, glass",glass
speilvendt,inverted
"speilvendt, omvendt",inverted
spekk,"blubber, lard"
spekulere,job
"spekulere, arbeid, jobbe, jobb",job
spenne,buckle
spenne fast,clamp
spenne i åk,yoke
spenning,excitement
"spenning, opphisselse",excitement
spent,intent
"spent, anspent",intent
sperre,interlock
sperret,frozen
spesiell,"especial, particular, special"
spesielt,especially
"spesielt, særlig",especially
spesifisere,itemize
spiker,nail
spill,"game, gamble"
spille,"act, gamble"
"spille, spill",gamble
spiller,gambler
spillerom,latitude
"spillerom, breddegrad",latitude
spinat,spinach
spindelvev,cobweb
spinkel,flimsy
spionasje,espionage
spiral,coil
spire,germ
"spire, bakterie",germ
spise,"feed, eat"
"spise, fortære",eat
spisebord,dining-table
spisekart,menu
"spisekart, kart",menu
spiselig,eatable edible
spiserør,gullet
spisestue,dining-room
spisevogn,dining-car
spiskammer,larder
spiss,jag
spor,groove
spore,incitement
spore av,derail
sporvidde,gauge
sporvogn,"tram, streetcar"
"sporvogn, trikk",streetcar tram
spott,gibe
spotte,"jeer, gibe"
"spotte, håne",jeer
"spotte, spott",gibe
sprake,crackle
sprang,"leap, jump"
"sprang, hopp, hoppe",leap
spre,"diffuse, dissipate, disperse, dispel"
"spre, jage bort",dispel
spredning,"diffusion, dissipation"
sprekk,chap
sprenge,force
sprengstoff,explosive
"sprengstoff, eksplosiv",explosive
sprette,bounce
spretten,frisky
sprinkler,lattice bars
sprut,"jet, gush"
"sprut, jetfly, stråle",jet
"sprut, utbrudd",gush
språk,"language, tongue"
"språk, tunge",tongue
språkeiendommelighet,idiom
"språkeiendommelighet, idiom",idiom
språklig,linguistic
sprø,"crazy, crisp, freaky, brittle, crispy"
sprøyte,"injection, hype, hypodermic"
sprøyte inn,inject
"sprøyte, underhuds-",hypodermic
sprøytenarkoman,hype
"sprøytenarkoman, sprøyte, skudd",hype
spyd,javelin
spyflue,blowfly
spyle,flush
spåkone,fortuneteller
spåmann,fortuneteller
"spåmann, spåkone",fortuneteller
spøk,"joke, hoax, jest"
spøke,"joke, jest, haunt"
"spøke, spøk",jest joke
spøkefugl,jester
spøkefull,"facetious, jocular"
spøkelse,ghost
"spøkelse, ånd",ghost
spørre,"ask, enquire, inquire, quiz"
"spørre, spørre",ask
spørrende,"interrogative, quizzical"
spørreskjema,questionnaire
spørsmål,"question, issue"
"spørsmål, sak, utgi, utstede, utstedelse",issue
sta,headstrong
"sta, stri",headstrong
stabelavløpning,launch
stadig,ever
staffeli,easel
stakkars,poor
"stakkars, fattig, dårlig",poor
stall,"stable, stall sty, stall"
stallkar,groom
stamme fra,descend
standhaftig,firm
stang,pole rod
stappe,cram
"stappe, pugge",cram
starter,starter
startkabler,jumper cables
stasjon,"stage, station, stop"
"stasjon, holdeplass, stoppested",stop
stasjonmester,station-master
statskirke,established church
statsminister,prime minister
statue,statue
sted,"locality, location"
"sted, beliggenhet",locality
stedfeste,localize
stedfortreder,deputy
stedlig,local
steil,bluff
stein,"rock, stone"
"stein, stein",stone
steinbrudd,quarry
steinhard,adamant
"steinhard, ubøyelig",adamant
steke,"roast, toast, fry, roast toast"
stekepanne,frying pan
stelle seg,freshen up
stemme overens,concur
stemmerett,franchise
stemmeseddel,ballot
stemningsfull,evocative
stempel,piston
stemple,label
"stemple, merkelapp, etikett",label
stentøy,crockery
sterk,strong
sterkt krydret,hot
sti,path
stiftelse,flotation
stige,"ladder, flow"
stige av,dismount
"stige av, demontere",dismount
stige ned,descend
"stige ned, stamme fra",descend
stigningsgrad,gradient
stikk,"hitch, jab"
"stikk, stikke",jab
stikke,"stab, sting, jab"
stikke av,abscond
"stikke av, rømme",abscond
stikke fram,jut
stikke hull på,lance
"stikke hull på, lanse",lance
stikkelsbær,gooseberry
stil,essay
stille,"quiet, silent"
stille ut,expose
"stille ut, utsette",expose
stillhet,quiet
stilltiende,implicit
stimulans,impetus
stipend,"exhibition, grant"
"stipend, fremvisning, utstilling",exhibition
"stipend, innrømme, skjenke, bevilgning, bevilge",grant
stipendiat,fellow
stirre,"gaze, goggle"
stivne,freeze
stjele,"steal, lift"
stjerne,star
"stjerne, stjerne",star
stjerner,stars
stoff,"fabric, dope"
stofflanger,drug-pusher
stoffmisbruker,"junkie, addict"
"stoffmisbruker, avhengig",addict
"stoffmisbruker, narkoman",junkie
stokk,"baton, cane, stick, cane"
stol,chair
stole på,depend
stoll,gallery
stopp,halt
"stopp, stoppe",halt
stoppe,halt
stoppested,stop
stor,"big, large"
stor hule,cavern
stor kurv,hamper
storfe,cattle
storhet,greatness
storm,"storm, tempest, gale,"
straks,"forthwith, immediately instantly"
strand,beach
strek,line
strekkbar,extensible
streng,"gut, harsh"
"streng, vom, tarm, sløye",gut
strevsom,laborious
stri,headstrong
stri med,labour
"stri med, arbeidskraft, arbeide, slit, slite",labour
strid,feud
stridshanske,gauntlet
"stridshanske, kjørehanske",gauntlet
stridsøks,hatchet
strikke,knit
strikkepinne,knittingneedle
strikkerjakke,cardigan
strikketøy,knitting
strikkevarer,hosiery
struktur,"frame, fabric"
strupe,"throat, gorge"
strupehode,larynx
stryke,fail
stryke ut,"erase, delete"
"stryke ut, slette",delete
"stryke, svikte, forsømme, slå feil",fail
strykejern,flat-iron
stråle,jet
strålende,"glorious, illustrious"
"strålende, fremtredende",illustrious
strø,grit
strøken,level
strøm,"flow, current, flush, high tide"
strømpe,"hose, stocking"
strømpebånd,garter
student,"scholar, student"
stuepike,maid
"stuepike, hushjelp, kammerpike, værelsepike",maid
stum,"dumb, speechless, mute, dumb speechless"
stup,dive
stupe,dive
"stupe, stup, dykk, dykke",dive
stygg,"homely, foul, nasty, ugly"
"stygg, heslig",ugly
styggedom,uglyness
styre,"administer, direct, govern"
"styre, direkte, rettlede",direct
"styre, regjere",govern
styremedlem,director
styrespake,joystick
styrke,"invigorate, force, intensity"
"styrke, tvinge, makt, forsere, kraft, sprenge",force
stå,"stand, abide"
stå i gjeld,indebted
stå overfor,face
ståhei,hubbub
stål,steel
"stål, stål",steel
ståle,beam
stønn,groan
stønne,groan
"stønne, knake, stønn",groan
støpe,found
"støpe, grunnlegge, opprette",found
støperi,foundry
støpning,fibre
størkne,congeal
støt,"jolt, jog, impact"
"støt, innvirkning",impact
"støt, jogge, puffe",jog
støte,jolt
støte ut,eject
"støte ut, fordrive",eject
støtfanger,"buffer, bumper fender, bumper"
støtfjær,shock-absorber
støtte,encourage
"støtte, oppmuntre",encourage
støv,dust
støvkost,duster
støvsuge,hoover
"støvsuge, støvsuger",hoover
støvsuger,hoover
støy,"hubbub, interference"
"støy, ståhei",hubbub
støy. bråk,noise
støyende,boisterois
suge,suck
sukker,sugar
sukkersyke,diabetes
suksess,hit
sult,hunger
sulten,hungry
summe,hum
"summe, nynne",hum
summetone,dialling tone
sunnhet,health
"sunnhet, helse",health
suppe,soup
sur,"crabby, sour, acid, bitter, grumpy, tart sour"
"sur, bitter",bitter
surdeig,leaven
svak,"faint, feeble, frail, dim"
"svak, besvime, matt",faint
"svak, skrøpelig",frail
svakelig,infirm
svakelighet,infirmity
svakhet,frailty
"svakhet, skrøpelighet",frailty
svare,"answer, respond, reply"
svart,black
sveiv,crank
svekket,impaired
svelge,"gulp, gorge"
svermer,zealot
"svermer, fanatiker",zealot
svev,flight
sveve,"hover, float"
svigerfamilie,in-laws
svigerfar,father-in-law
svigerinne,sister-in-law
svigermor,mother-in-law
svik,guile
"svik, list",guile
svikefull,"deceitful, fraudulent"
svikt,failure
svikte,"fail, forsake, falter"
svimmel,"dizzy, giddy"
svimmelhet,dizziness
svin,"hog, pig"
"svin, gris",pig
svindel,"fraud, con"
svindler,fraud
svinekjøtt,pork
sving,curve
svinge,fluctuate
"svinge, variere",fluctuate
svingning,fluctuation
svinne,dwindle
svoger,brother-in-law
svulst,"abscess, tumor, tumour, growth"
"svulst, byll",abscess
svømme,swim
svømmebad,swimming-bath
svømmeplass,swimming-bath
"svømmeplass, svømmebad",swimming-bath
sy,sew
syd,south
sydame,dressmaker
syk,"ill, sick, diseased, ill sick"
sykdom,"disease, illness"
sykehus,"hospital, infirmary"
sykelig,diseased
"sykelig, syk",diseased
sykemelding,sick-note
sykepermisjon,sickleave
sykepleierske,nurse
sykkel,"bicycle, bike, cycle"
sykkelstyre,handle bars
sylinder,"cylinder, roller"
sylteagurk,gherkin
syltetøy,jam
sympatisk,likeable
synes,"look, find"
"synes, finne, funn",find
synge,sing
synke i verdi,depreciate
syre,acid
"syre, sur",acid
syrin,lilac
"syrin, lilla",lilac
sytten,seventeen
sytti,seventy
syvende,seventh
såpe,soap
sår,hurt
"sår, skade, såre",hurt
såre,"hurt, insult"
"såre, fornærme, fornærmelse",insult
særegen,distinctive
særhet,quirk
særlig,"especially, especial"
"særlig, spesiell",especial
særskilt,individual
søker,finder
søkt,far-fetched
sølv,silver
"sølv, sølv",silver
søm,hem
sømmelig,decent
"sømmelig, skikkelig",decent
sømmelighet,decency
søndag,sunday
sønn,son
sønnlig,filial
søppel,"garbage, litter"
søppelhaug,dump
sørge,grieve
søster,sister
søt,"gentle, soft, sweet, tender"
søvn,sleep
søvndyssende middel,hypnotic
søvnig,drowsy
"søvnig, døsig",drowsy
søvnløshet,insomnia
søyle,column
"søyle, kolonne",column
ta,"lay, hold of, pick"
ta av,detach
"ta av, kople fra",detach
ta imot,accept
ta motet ifra,discourage
ta på,finger
"ta på, finger, fingre med",finger
tabbe,goof
"tabbe, fjols",goof
tagg,"jag, barb"
taggete,jagged
tak,"roof, hold"
"tak, grep, inneholde, holde",hold
takk,"thank, you thanks"
takknemlig,grateful
takknemlighet,gratitude
takrenne,gutter
taksameter,faremeter
taksere,estimate
takskjegg,eaves
takst,fare
"takst, billettpris",fare
takstsone,farestage
taktfull,discreet
"taktfull, diskrèt",discreet
taktløshet,"indelicacy, indiscretion"
tale,"speak, talk"
"tale, snakke",speak
taleferdighet,fluency
tall,figure
tallerken,"plate, platter, course, dish"
tallskive,face
talløs,innumerable
"talløs, utallig",innumerable
talsmann,exponent
tange,tongs
tank,tank
tanke,idea
"tanke, hensikt, ide",idea
tankeløs,harebrained
tann,tooth
"tann, tann",tooth
tannbørste,tooth-brush
tannhjul,cogwheel
tannkjøtt,gum
tannkrem,tooth-paste
tannlege,"dentalist, dentist"
tanntråd,dental floss
tante,aunt
tap,loss
"tap, savn",loss
tape,lose
"tape, saktne, miste",lose
taper,loser
tapet,wallpaper
tappekran,faucet
tapper,brave
tarm,"gut, intenstine"
tarmbetennelse,enteritis
tarmbrokk,enterotomy
tarmer,bowels
"tarmer, innvoller",bowels
tastatur,keyboard
tau,"rope, string"
"tau, reip",rope
te,tea
teater,theatre
teft,flair
tegn,indication
tegning,"drawing, design"
"tegning, bykart",design
tekjøkken,kitchenette
tekniker,engineer
tekstur,grain
"tekstur, korne seg, korn",grain
telefon,telephone
telefonsvarer,answering machine
telegram,telegram
telle,count
"telle, greve",count
telt,tent
tenke,think
tenke ut,devise
tenkelig,conceivable imaginable
tenne,"kindle, light"
tenner,teeth
tenning,"ignition, firing"
tennplugg,"plug, spark"
teologi,divinity
teppe,"carpet, blanket"
"teppe, ullteppe",blanket
terning,"cube, dice"
terpe på,harp on
terreng,ground
testamentarisk gave,legacy
testamentere,bequeath
tett,dense
"tett, dum",dense
tetthet,density
ti,ten
tid,time
"tid, time",time
tidlig,early
tidligere,"anterior, formerly, former, earlier"
"tidligere, forhenværende",former
tidsalder,era
"tidsalder, æra",era
tidskrift,"periodical, magazine, newspaper"
"tidskrift, avis",newspaper
"tidskrift, tidsskrift",periodical
tidsskrift,"revue, magazine, periodical, gazette"
"tidsskrift, tidsskrift, tidskrift, magasin",magazine
tiende,tenth
tiger,tiger
tigger,beggar
tiggermunk,friar
til,"until, into, for"
til fots,afoot
til høyre,"right, to, the right"
til og med,even
til slutt,lastly
til tross for,despite
til venstre,"to, the left"
"til, for, av",for
tilbake,back
"tilbake, rygg",back
tilbakemelding,feedback
tilbehør,"accessories, fittings"
tilbøyelig,"liable, inclined"
tilbøyelighet,"inclination, bent, leaning"
"tilbøyelighet, buktet",bent
tildele,inflict
tilegne,dedicate
tilegnelse,dedication
tilfeldig,"casual, fortuitous, haphazard, incidental, randomly, random"
tilfredstille,gratify
"tilfredstille, glede",gratify
tilfredstillelse,gratification
tilfrosset,frozen
tilføyelse,annex
tilgang,accession
"tilgang, tiltredelse",accession
tilgi,forgive
"tilgi, forlate",forgive
tilgivelse,forgiveness
tilhenger,follower
tilholdssted,"haunt, habitat"
"tilholdssted, spøke, besøke ofte",haunt
tilhører,listener
tilintetgjøre,exterminate
tilkommende,intended
tillate,allow
tillatelig,admissible
tillegg,increment
tillegge,attach
"tillegge, knytte",attach
tillit,faith
tilpasse,"accommodate, adapt, conform"
"tilpasse, bearbeide",adapt
"tilpasse, imøtekomme",accommodate
tilpasset,fitted
tilsiktet,intentional
tilskrive,ascribe
tilskynde,impel
tilskyndelse,"impulse, inducement, incitement"
"tilskyndelse, impuls, innfall",impulse
"tilskyndelse, spore",incitement
tilskynder,instigate
tilslutt,finally
tilstand,condition
"tilstand, betingelse",condition
tilstrømning,"affluence, influx"
tilstå,confess
tilstøtende,adjacent
tilsvarende,equivalent
tilsynelatende,apparently
tilta,increase
tiltale,indictment
tiltredelse,accession
tilværelse,existence
time,"hour, time"
timeplan,"time-table, schedule"
"timeplan, rutetabell",time-table
ting,"article object, thing, article, object thing"
tirsdag,tuesday
tispe,bitch
tiår,decade
tjene,"gain, earn"
tjeneste,favour
tjue,twenty
to,two
toalett,"lavatory, loo, toilet, loo"
toalett-papir,toilet-paper
toalettmappe,dressingcase
tobakk,tobacco
tog,train
tolerant,broad-minded
tolk,interpreter
tolke,interpret
"tolke, tyde",interpret
tolkning,interpretation
"tolkning, fortolkning",interpretation
toll,"customs, duty"
"toll, plikt",duty
tollbod,custom-house
"tollbod, tollkontor",custom-house
tollfri,dutyfree
tollkontor,custom-house
tollpliktig,dutiable
tolv,twelve
tom,"empty, inane, void"
tomat,tomato
tomato,tomato juice
tomatsuppe,tomato-soup
tomgangskjøring,idling
tomme,inch
tommelfinger,thumb
tonefall,"intonation, accent"
"tonefall, intonasjon",intonation
toning,fade
"toning, dø hen, falme, dempe, visne",fade
toppet,heaped
torden,thunder
torg,"bazaar, market"
torsdag,thursday
torsk,codfish
tosk,"jerk, fool"
"tosk, rykke, rykk",jerk
"tosk, tøyse, narre, bedra",fool
trafikk,traffic
trakt,funnel
tran,codliver oil
trane,crane
"trane, kran",crane
tranebær,cranberry
trang,"cramped, narrow"
"trang, smal",narrow
transport,haulage
transportabel,portable
trappe,staircase stairs
trappe opp,escalate
trappeavsats,landing
"trappeavsats, landing, nedslag, landsetting",landing
trass,defiance
trassig,"defiant, dogged"
travel,busy
travelhet,bustle
tre,"three, tree"
tredje,third
tredve,thirty
treffe,hit
treg,"inert, languid, dull, indolent"
"treg, lat",indolent
"treg, sløv",languid
treghet,indolence
"treghet, lathet",indolence
trekk,"feature, draught"
"trekk, innslag, attraksjon",feature
trekke,drag
trekke fra,"deduct, discount"
trekke inn,involve
"trekke inn, medføre, involvere",involve
trekke på gaten,hustle
trekke ut,extract
"trekke ut, utdrag, ekstrakt",extract
trekkspill,accordion
trekull,charcoal
trener,coach
"trener, vogn",coach
trenge på,intrude
trengsel,"hustle, jam"
tresko,clog
trett,jaded
trette,quarrel
"trette, krangle, krangel",quarrel
tretten,thirteen
tretthet,fatigue
trikk,"streetcar, tram"
trikotasje,hosiery
"trikotasje, strikkevarer",hosiery
trillebår,barrow
trinn,grade
"trinn, gradere, grad, karakter, klasse",grade
trist,"drab, dull, dreary"
"trist, ensformig",drab
trivelig,buxom
trives,flourish
tro,"belief, faith"
"tro, tillit",faith
trofast,"faithful, loyal"
trollmann,magician
troløs,faithless
tromme,drum
trommehinne,eardrum
trosbekjennelse,creed
troskap,fidelity
troskyldig,ingenuous
"troskyldig, oppriktig",ingenuous
trosse,"defy, hawser"
"trosse, kabel",hawser
"trosse, utfordre",defy
troverdighet,credibility
truet,endangered
trygge,consolidate
trykke,"impress, print"
trykke ned,depress
trylle,conjure
tryllestav,magic wand
tråd,thread
trøtt,tired
trøye,shirt
tulipan,tulip
tung,"burdensome, onerous, heavy"
tunge,"tongue, sole"
"tunge, alene",sole
tunge-,lingual
tungebelegg,fur
"tungebelegg, pels",fur
tungerapp,glib
"tungerapp, glatt",glib
tungsinn,gloom
"tungsinn, halvmørke",gloom
tungt,heavily
tupè,hairpiece
turgåer,hiker
turner,gymnast
"turner, gymnast",gymnast
tusen,"one thousand, thousand"
tusenfryd,daisy
tut,honk
tute,"hoot, honk"
"tute, tut",honk
tuting,hoot
tvangs-,forcible
"tvangs-, kraftig",forcible
tvers over,"across, the other side of"
tvetydig,equivocal
tvil,disbelief
"tvil, vantro",disbelief
tvilende,"incredulous, dubious"
"tvilende, tvilsom",dubious
tvilsom,"dubious, questionable"
tvinge,force
tvingende,compelling
tvingende nødvendighet,exigency
tyde,interpret
tydelig,"apparent, evident, explicit, distinct"
"tydelig, innlysende",evident
"tydelig, klar, adskilt",distinct
tydeligvis,evidently
tygge,chew
tyggegummi,chewing gum
tykk,"bold, corpulent gross, thick, fat, corpulent"
tykktarm,colon
tykktarmbetennelse,colitis
tyngde,gravity
"tyngde, alvor",gravity
tyngdekraft,gravitation
tynn,"slender, thin, gaunt, lean"
tyttebær,cowberry
tyv,thief
tyve,twenty
"tyve, tjue",twenty
tyvegods,loot
tå,toe
tåke,"fog, mist"
"tåke, skodde",mist
tåket,foggy
"tåket, uklar, diset",foggy
tåle,endure
"tåle, holde ut",endure
tånegl,toenail
tåpelig,"daft, foolish inept, inane"
"tåpelig, tom",inane
tårn,tower
tære bort,erode
tømme,evacuate
tømmer,lumber
"tømmer, skrap",lumber
tømmerstokk,log
tømming,depletion
tønne,keg
tønnebånd,hoop
tørke,"drought, dry"
tørr,dry
"tørr, tørke",dry
tørst,thirst
tøyelig,elastic
"tøyelig, elastisk",elastic
tøyle,bridle
"tøyle, bissel",bridle
tøylesløs,licentious
tøyse,fool
uansett,"in, any case"
uanstendig,indecent
uanstendighet,indecency
uansvarlig,irresponsible
uanvendelig,inapplicable
uatskillelig,inseparable
uavhengig,independent
uavhengighet,independence
ubedervelig,imperishable
"ubedervelig, uforgjengelig",imperishable
ubegrenset,indefinite
ubehag,discomfort
ubehagelig,disagreeable
ubeleilig,inconvenient
uberegnelig,erratic
ubeskrivelig,"indescribable, inexpressible"
ubesluttsom,"indecisive, irresolute"
ubesluttsomhet,indecision
ubestemt,indefinite
"ubestemt, ubegrenset",indefinite
ubestridelig,indisputable
ubetenksom,"imprudent, indiscreet, inconsiderate"
"ubetenksom, hensynsløs",inconsiderate
"ubetenksom, uklok",imprudent
ubetenksomhet,imprudence
ubetydelig,"fractional, insignificant"
"ubetydelig, brøk-",fractional
ubetydlig,inconsiderable
ubevegelig,immovable
"ubevegelig, urokkelig",immovable
ublu,exorbitant
ubrukelig,inapplicable
"ubrukelig, uanvendelig",inapplicable
ubønnhørlig,inexorably
ubøyelig,"adamant, inflexible"
udelelig,indivisible
udugelig,"inefficient, inept"
udyr,beast
udødelig,immortal
udødelighet,immortality
uekte,"bastard, false, insincere"
uendelig,"infinite, interminable, endless"
uendelighet,infinity
uenighet,"discord, disagreement, dissension"
uerfaren,"inexperienced, fresh"
ufattelig,inconceivable
ufeilbarlig,infallible
uferdig,incomplete
"uferdig, ufullstendig",incomplete
uforanderlig,invariable
uforbederlig,incorrigible
ufordelaktig,disadvantageous
ufordøyelig,indigestible
uforenlig,"incompatible, irreconcilable"
"uforenlig, uforsonlig",irreconcilable
uforferdet,intrepid
uforgjengelig,"indestructible, imperishable"
uforklarlig,inexplicable
uformell,"informal, intimate"
uforskammet,"impudent, impertinent, insolent"
"uforskammet, nesevis",impertinent
uforskammethet,impudence
uforsonlig,irreconcilable
uforstyrrelig,imperturbable
uforståelig,incomprehensible
uforståelig snakk,gibberish
"uforståelig snakk, vrøvl",gibberish
ufremkommelig,impassable
ufrivillig,involuntary
ufruktbar,"infertile, barren"
"ufruktbar, gold",barren
ufruktbarhet,infertility
ufullkommen,imperfect
ufullkommenhet,imperfection
ufullstendig,incomplete
ufølsom,"insensible, callous"
"ufølsom, følelsesløs",insensible
ufør,"disabled, invalid"
uførhet,disability
ugang,harm
"ugang, skade",harm
ugjenkallelig,irrevocable
ugjennomførlig,impracticable
ugjennomtrengelig,"impenetrable, impervious"
"ugjennomtrengelig, uimottakelig",impervious
ugjestfri,inhospitable
ugressmiddel,herbicide
ugudelig,impious
ugyldig,invalid
uharmonisk,inharmonious
uhelbredelig,incurable
uhensiktsmessig,inexpedient
uholdbar,indefensible
uhyggelig,"grisly, lurid, ghastly, grim"
"uhyggelig, glødende",lurid
uhåndgripelig,intangible
uhøflig,"discourteous, impolite"
uimotståelig,irresistible
uimottakelig,"immune, impervious"
uinntagelig,impregnable
ujevn,erratic
"ujevn, uberegnelig",erratic
ukarakteristisk,indistinctive
uke,week
uklanderlig,"impeccable, immaculate"
"uklanderlig, plettfri",impeccable
"uklanderlig, ulastelig",immaculate
uklar,"foggy, dim"
uklok,imprudent
ukrenkelig,inviolable
ukuelig,indomitable
"ukuelig, utemmelig",indomitable
ukyndig,inept
"ukyndig, malplassert, udugelig, tåpelig",inept
ulastelig,"irreprochable, immaculate"
ule,"hoot, howl"
"ule, hyl, hyle",howl
"ule, tuting, uling, tute",hoot
uleilighet,inconvenience
ulempe,"disadvantage, inconvenience"
"ulempe, uleilighet, bry",inconvenience
uleselig,illegible
ulidelig,"excruciating, insufferable"
ulik,dissimilar
ulikhet,"disparity, inequality"
"ulikhet, forskjell",disparity
uling,hoot
ull,"wool, fleece"
ulldott,flock
ullen,fleecy
ullteppe,blanket
ulovlig,"illegal, illegitimate, illicit"
ulydig,"disobedient, insubordinate"
ulydighet,disobedience
ulykke,"accident, fatality, disaster"
ulykkelig,desolate
ulykksalig,disastrous
uløselig,"insoluble, inextricable, indissoluble"
umenneskelig,inhuman
umerkelig,imperceptive indiscernable
umiddelbar,immediate
"umiddelbar, øyeblikkelig",immediate
uminnelig,immemorial
umoden,immature
umoralsk,immoral
umoralskhet,immorality
umulig,impossible
umuliggjøre,incapicitate
